IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
121632;Arbre;Jardin;PARIS 14E ARRDT;Pourtour zone centrale N°4;SQUARE DU SERMENT DE KOUFRA / 30 AVENUE ERNEST REYER;000504001;Hêtre;Fagus;sylvatica;''Atropunicea'';317;15;Mature;OUI;48.821770691957425, 2.3229013054914223
2002363;Arbre;Jardin;BOIS DE VINCENNES;12-10;ILE DE BERCY / LAC DAUMESNIL;A0280103001;Cyprès Chauve;Taxodium;distichum;;305;23;Adulte;OUI;48.832610572841126, 2.411452728985819
134435;Arbre;Jardin;PARIS 3E ARRDT;;JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD;000101001;Marronnier;Aesculus;hippocastanum;;100;11;Jeune (arbre);OUI;48.861474096762265, 2.354374705728248
2002391;Arbre;Jardin;BOIS DE BOULOGNE;16-01;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;000101004;Arbre aux quarante écus;Ginkgo;biloba;;210;17;Mature;OUI;48.862893310495906, 2.261460569081602
132543;Arbre;Jardin;PARIS 5E ARRDT;;SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES;000101002;Platane;Platanus;orientalis;;470;24;Mature;OUI;48.849316501647486, 2.3451863583850776
152606;Arbre;CIMETIERE;PARIS 20E ARRDT;;CIMETIERE DU PERE LACHAISE / DIV 4;D00000004038;Cèdre;Cedrus;atlantica;;407;25;Mature;OUI;48.860809627866544, 2.3918437755894146
2002355;Arbre;Jardin;BOIS DE BOULOGNE;NYMPHEAS;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5034306001;Arbre aux mouchoirs;Davidia;involucrata var. vilmoriniana;;125;15;Adulte;OUI;48.87312359767862, 2.2487684493323075
102140;Arbre;Jardin;PARIS 19E ARRDT;;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;H06901013;Platane;Platanus;x hispanica;;580;30;Mature;OUI;48.88040062469341, 2.3812989044716435
125236;Arbre;Jardin;PARIS 12E ARRDT;12-33;JARDIN DE LA GARE DE REUILLY - JULIEN LAUPRETRE / 6 RUE PAUL DUKAS;000101001;Libocèdre;Calocedrus;decurrens;;210;20;Adulte;OUI;48.840877698737174, 2.392112852731394
136323;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040039;Chêne;Quercus;ilex;;242;13;Mature;OUI;48.846565233066585, 2.2524200120166076
235972;Arbre;Alignement;PARIS 19E ARRDT;19-05;PLACE DE LA BATAILLE DE STALINGRAD;000103001;Tilleul;Tilia;tomentosa;;220;23;Mature;OUI;48.883029324261024, 2.370062797212543
123848;Arbre;Jardin;PARIS 4E ARRDT;;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;000103001;Mûrier;Morus;alba;;80;7;Adulte;OUI;48.8578670721938, 2.3481193033929655
2002380;Arbre;Jardin;BOIS DE VINCENNES;I-10;ARBORETUM DE PARIS / 50 ROUTE DE LA PYRAMIDE;719480498;Pin;Pinus;bungeana;;90;18;Adulte;OUI;48.82131243578556, 2.4558982865357057
136527;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00050045;Arbre aux quarante écus;Ginkgo;biloba;;434;24;Mature;OUI;48.84763638838091, 2.25274648204536
2002350;Arbre;Jardin;BOIS DE BOULOGNE;GRILLES;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5062201002;Sequoia;Sequoiadendron;giganteum;;540;30;Adulte;OUI;48.86945829100158, 2.2477134377946713
120016;Arbre;Jardin;PARIS 18E ARRDT;18-08;SQUARE MAURICE KRIEGEL - VALRIMONT / 36  DE CLIGNANCOURT;000101010;Cedrele;Toona;sinensis;;234;18;Mature;OUI;48.89335544998002, 2.346820483829002
2041452;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280107001;Platane;Platanus;x hispanica;;395;35;Mature;OUI;48.83260063884148, 2.4105349262222835
114867;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000206003;Chêne;Quercus;ilex;;210;11;Mature;OUI;48.87368091631072, 2.290252437895597
104840;Arbre;Jardin;PARIS 13E ARRDT;Roseraie;SQUARE RENE LE GALL / 1 RUE EMILE DESLANDRES;000301001;Chêne;Quercus;cerris;;190;18;Adulte;OUI;48.83328754283984, 2.350246664924597
114869;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000206001;Savonnier;Koelreuteria;paniculata;;174;10;Adulte;OUI;48.87354080178791, 2.2904501836127293
2002381;Arbre;Jardin;BOIS DE VINCENNES;G-13;ARBORETUM DE PARIS / 50 ROUTE DE LA PYRAMIDE;01-719480341;Orme de Sibérie;Zelkova;sinica;;330;20;Mature;OUI;48.82179324883959, 2.4548439509121947
