IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
2002398;Arbre;Jardin;BOIS DE BOULOGNE;16-04;ILE DU LAC INFERIEUR;000401001;Platane;Platanus;orientalis;;380;26;Mature;OUI;48.866127211697794, 2.2625479308393683
102141;Arbre;Jardin;PARIS 19E ARRDT;19-08;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;H06901014;Platane;Platanus;x hispanica;;740;30;Mature;OUI;48.88033710196145, 2.3812913414843
112946;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0417A1001;Arbre aux quarante écus;Ginkgo;biloba;;430;23;Mature;OUI;48.823128857560086, 2.338709258241681
111640;Arbre;Jardin;PARIS 15E ARRDT;15-02;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;000102018;Aulne;Alnus;sp.;;240;20;Adulte;OUI;48.842820739936954, 2.297287277495279
124914;Arbre;Jardin;PARIS 11E ARRDT;11-01;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;000201002;Noisetier de Byzance;Corylus;colurna;;265;20;Mature;OUI;48.86185385251956, 2.379087768327219
135397;Arbre;Jardin;PARIS 17E ARRDT;17-10;SQUARE DES BATIGNOLLES / 144 RUE CARDINET;000203011;Platane;Platanus;x hispanica;;604;34;Mature;OUI;48.88762100175876, 2.3164352339758194
136305;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040021;Magnolia;Magnolia;grandiflora;;190;10;Mature;OUI;48.847281170741454, 2.2519271267791723
2002344;Arbre;Jardin;BOIS DE BOULOGNE;16-06;MOULIN DE LONGCHAMP - ROUTE DES TRIBUNES;000601001;Orme de Sibérie;Zelkova;carpinifolia;;321;16;Mature;OUI;48.8625497048619, 2.2378984057128415
125087;Arbre;Jardin;PARIS 18E ARRDT;Talus Aux Amoureux;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;000404003;Grenadier;Punica;granatum;;30;3;Adulte;OUI;48.88564153574161, 2.3438204487276106
113547;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0420A1001;Platane;Platanus;x hispanica;;670;30;Mature;OUI;48.822714703916056, 2.33868841423436
2002394;Arbre;Jardin;BOIS DE BOULOGNE;16-14;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;000501003;Sequoia;Sequoiadendron;giganteum;;645;36;Adulte;OUI;48.864817944958034, 2.2526762439998396
120518;Arbre;Jardin;PARIS 18E ARRDT;Le grand Talus;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;000504012;Pterocarya;Pterocarya;fraxinifolia;;371;26;Mature;OUI;48.88609867805312, 2.3446801358970153
136460;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00030015;Bouleau;Betula;nigra;;228;20;Mature;OUI;48.84778224465814, 2.2537228749508285
2002353;Arbre;Jardin;BOIS DE BOULOGNE;ROSERAIE DE PAYSAGE;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5023701008;Araucaria;Araucaria;araucana;;190;12;Adulte;OUI;48.871660036213896, 2.2504329833778587
111642;Arbre;Jardin;PARIS 15E ARRDT;15-04;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;000102015;Erable;Acer;saccharinum;;265;20;Adulte;OUI;48.84278366541725, 2.296861331321951
106181;Arbre;Jardin;PARIS 13E ARRDT;Massif 01;PARC DE CHOISY / 1 RUE GEORGE EASTMAN;000201032;Cèdre;Cedrus;atlantica;;358;25;Mature;OUI;48.82776601728855, 2.359263186401195
120530;Arbre;Jardin;PARIS 18E ARRDT;Talus Ronsard;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;000601010;Oranger des Osages;Maclura;pomifera;;215;16;Mature;OUI;48.88566918282629, 2.3447140694036603
101752;Arbre;Jardin;PARIS 19E ARRDT;19-06;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;I11301004;Sophora;Styphnolobium;japonicum;;410;12;Mature;OUI;48.88146586923752, 2.3836769144431376
108183;Arbre;Jardin;PARIS 7E ARRDT;Canton 03 / SETE;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;P00306006;Hêtre;Fagus;sylvatica;''Pendula'';205;6;Adulte;OUI;48.85875367971321, 2.295499254341964
2002347;Arbre;Jardin;BOIS DE BOULOGNE;16-07;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;000301001;Cyprès Chauve;Taxodium;distichum;;330;30;Mature;OUI;48.8632631610131, 2.2407247638393972
230281;Arbre;Alignement;PARIS 1ER ARRDT;;QUAI DE L HORLOGE;000402002;Saule;Salix;babylonica;;160;10;Adulte;OUI;48.857749011038855, 2.339403940291554
108277;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;001005001;Sequoia;Sequoia;sempervirens;;191;18;Adulte;OUI;48.862451843582356, 2.289590997480488
2017817;Arbre;Alignement;PARIS 10E ARRDT;;PLACE DE LA REPUBLIQUE;000401009;Chêne;Quercus;cerris;;56;7;Jeune (arbre);OUI;48.86829544201025, 2.3631894497039174
2002388;Arbre;Jardin;BOIS DE BOULOGNE;16-13;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;000501002;Plaqueminier;Diospyros;kaki;;150;16;Adulte;OUI;48.86482426653845, 2.252167857611314
302514;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;000103001;Sequoia;Sequoiadendron;giganteum;;360;19;Mature;OUI;48.86697545795968, 2.3195152169860838
323350;Arbre;Jardin;PARIS 9E ARRDT;Entrée;SQUARE D ESTIENNE D ORVES / 1 PLACE D ESTIENNE D ORVES;000202001;Pterocarya;Pterocarya;fraxinifolia;;380;26;Mature;OUI;48.87668685197766, 2.331908896799536
2002367;Arbre;Jardin;BOIS DE VINCENNES;12-04;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;12-04;Noyer;Juglans;nigra;;605;26;Mature;OUI;48.83343581354383, 2.4127979366912222
100818;Arbre;Jardin;PARIS 12E ARRDT;JARDIN YITZHAK RABIN - Le mail des Tilleuls;PARC DE BERCY - JARDIN YITZHAK RABIN / 16 RUE JOSEPH KESSEL;D00103004;Platane;Platanus;x hispanica;;528;35;Mature;OUI;48.83416245257559, 2.382559585335769
102053;Arbre;Jardin;PARIS 19E ARRDT;;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;G03102003;Arbre aux quarante écus;Ginkgo;biloba;;295;24;Adulte;OUI;48.88232085965527, 2.3840875071988212
116020;Arbre;Jardin;PARIS 3E ARRDT;03-01;SQUARE GEORGES CAIN / 8 RUE PAYENNE;000101002;Figuier;Ficus;carica;;145;10;Mature;OUI;48.85828201412413, 2.3626526639008243
167762;Arbre;CIMETIERE;PARIS 18E ARRDT;;CIMETIERE DE MONTMARTRE / DIV 14;D00000014007;If;Taxus;baccata;;303;13;Mature;OUI;48.88581441560891, 2.3301156142031423
162943;Arbre;CIMETIERE;PARIS 20E ARRDT;20-14;CIMETIERE DU PERE LACHAISE / DIV 45;D00000045009;Platane;Platanus;x hispanica;;375;26;Mature;OUI;48.86125585599569, 2.3950502607017117
110934;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0311B1011;Chêne;Quercus;ilex;;270;17;Mature;OUI;48.82183889171346, 2.335786151664377
317250;Arbre;Jardin;PARIS 9E ARRDT;;SQUARE MONTHOLON / 79 BIS RUE LA FAYETTE;000108001;Platane;Platanus;x hispanica;;470;27;Mature;OUI;48.87692125066785, 2.3467187902283135
127998;Arbre;Jardin;PARIS 19E ARRDT;Buttes Ouest;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;000403016;Frêne;Fraxinus;excelsior;;405;21;Mature;OUI;48.881938789001154, 2.3982565249323247
2041449;Arbre;Jardin;BOIS DE VINCENNES;;ILE DE BERCY / LAC DAUMESNIL;A0280106008;Platane;Platanus;x hispanica;;340;40;Mature;OUI;48.832179970170976, 2.410633585345378
135262;Arbre;Jardin;PARIS 17E ARRDT;17-07;SQUARE DES BATIGNOLLES / 144 RUE CARDINET;000104011;Pterocarya;Pterocarya;fraxinifolia;;435;30;Mature;OUI;48.88723844539319, 2.317169787784496
2002351;Arbre;Jardin;BOIS DE BOULOGNE;VIVACES;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5013001011;Platane;Platanus;orientalis;;248;25;Mature;OUI;48.87022246589054, 2.2481923725995148
2002370;Arbre;Jardin;BOIS DE VINCENNES;12-02;SQUARE CARNOT / AVENUE DAUMESNIL - ESPLANADE SAINT LOUIS;12-02;Tulipier;Liriodendron;tulipifera;;310;31;Mature;OUI;48.839405151556065, 2.433374482548442
201570;Arbre;DJS;PARIS 16E ARRDT;16-38;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;000103001;Hêtre;Fagus;sylvatica;;330;17;Mature;OUI;48.86420036292021, 2.267960372482584
2002392;Arbre;Jardin;BOIS DE BOULOGNE;16-02;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;000101005;Pterocarya;Pterocarya;fraxinifolia;;418;28;Mature;OUI;48.86311084919249, 2.261800649431041
136304;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040020;Magnolia;Magnolia;grandiflora;;195;10;Mature;OUI;48.84749478660293, 2.251959858686152
102027;Arbre;Jardin;PARIS 19E ARRDT;;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;G03901001;Marronnier;Aesculus;hippocastanum;;330;22;Mature;OUI;48.880074579688774, 2.385704698042229
2002362;Arbre;Jardin;BOIS DE VINCENNES;12-08;ILE DE BERCY / LAC DAUMESNIL;A0280105003;If;Taxus;baccata;;110;8;Adulte;OUI;48.832077584785644, 2.4118171356639775
125051;Arbre;Jardin;PARIS 4E ARRDT;;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;000102002;Tamaris;Tamarix;sp.;;230;3;Mature;OUI;48.85235484373538, 2.3518099173605553
2002359;Arbre;Jardin;BOIS DE VINCENNES;12-13;ILE DE BERCY / LAC DAUMESNIL;A0280105002;Cryptomeria;Cryptomeria;japonica;;135;16;Mature;OUI;48.83121657299062, 2.41167739693149
2002390;Arbre;Jardin;BOIS DE BOULOGNE;16-05;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;000101001;Magnolia;Magnolia;grandiflora;;205;10;Mature;OUI;48.85867307490156, 2.258339355483806
307582;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;000109002;Platane;Platanus;x hispanica;;505;28;Mature;OUI;48.86514591377893, 2.3133311893777466
121940;Arbre;Jardin;PARIS 20E ARRDT;20-06;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;000201005;Noisetier de Byzance;Corylus;colurna;;160;16;Mature;OUI;48.86583361958705, 2.4000829253880704
123156;Arbre;Jardin;PARIS 12E ARRDT;;SQUARE CHARLES PEGUY / 21 RUE ROTTEMBOURG;000202001;Chêne;Quercus;frainetto;;203;14;Adulte;OUI;48.83881631940497, 2.4065668555181325
2002352;Arbre;Jardin;BOIS DE BOULOGNE;CHATEAU;PARC DE BAGATELLE / ROUTE DE SEVRES A NEUILLY;F5052901006;If;Taxus;baccata;;250;15;Adulte;OUI;48.87095202001301, 2.2479906911733982
2040959;Arbre;Jardin;BOIS DE VINCENNES;12-01;SQUARE CARNOT / AVENUE DAUMESNIL - ESPLANADE SAINT LOUIS;12-01 bis;Platane;Platanus;x hispanica;;630;35;Mature;OUI;48.83951761452453, 2.433432977163662
108095;Arbre;Jardin;PARIS 7E ARRDT;Canton 01 / SETE;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;P00108001;Platane;Platanus;x hispanica;;710;25;Mature;OUI;48.85783876010566, 2.293318739569962
147672;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;CIMETIERE DU PERE LACHAISE / DIV 76;D00000076032;Marronnier;Aesculus;hippocastanum;;363;22;Mature;OUI;48.85974253352514, 2.3999831362642388
125063;Arbre;Jardin;PARIS 4E ARRDT;;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;000302002;Orme;Ulmus;glabra;''Pendula'';180;10;Adulte;OUI;48.85210203088596, 2.3508038713728925
2002371;Arbre;Jardin;BOIS DE VINCENNES;12-01;SQUARE CARNOT / AVENUE DAUMESNIL - ESPLANADE SAINT LOUIS;12-01;Platane;Platanus;x hispanica;;635;34;Mature;OUI;48.8395159598227, 2.4333342703039325
126662;Arbre;Jardin;PARIS 16E ARRDT;;SQUARE THOMAS JEFFERSSON / 1 PLACE DES ETATS UNIS;000101012;Platane;Platanus;x hispanica;;153;16;Adulte;OUI;48.8682604087987, 2.2935620376787793
128154;Arbre;Jardin;PARIS 17E ARRDT;;PELOUSE PLACE DU GENERAL CATROUX SUD  / 1  PLACE DU GENERAL CATROUX;000201001;Marronnier;Aesculus;hippocastanum;;390;26;Mature;OUI;48.88233169602054, 2.3102453912946808
2002349;Arbre;Jardin;BOIS DE BOULOGNE;16-08;RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP;000901001;Pin;Pinus;nigra subsp. laricio;;250;20;Mature;OUI;48.86300960060954, 2.241773751196325
136338;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040054;Chêne;Quercus;suber subsp. Occidentalis;;232;11;Mature;OUI;48.84716612857703, 2.252928263930061
128372;Arbre;Jardin;PARIS 15E ARRDT;Terre-plein N°1;SQUARE DU CLOS FEUQUIERES / 30 RUE DESNOUETTES;000301001;Hêtre;Fagus;sylvatica;''Pendula'';150;10;Adulte;OUI;48.83642502700968, 2.290185631757742
113597;Arbre;Jardin;PARIS 15E ARRDT;;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;000106001;Chêne;Quercus;frainetto;;190;15;Adulte;OUI;48.839644167162135, 2.3009755849849554
114779;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 à 29;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000105001;Noisetier de Byzance;Corylus;colurna;;205;14;Mature;OUI;48.8727963280101, 2.2875406258605264
223748;Arbre;Alignement;PARIS 20E ARRDT;148;BOULEVARD DE CHARONNE;001802036;Platane;Platanus;x hispanica;;425;23;Mature;OUI;48.85647419983058, 2.394618479034989
120299;Arbre;Jardin;PARIS 18E ARRDT;Amphithéâtre;PARC MARCEL BLEUSTEIN BLANCHET / 1 RUE DE LA BONNE;000201003;Platane;Platanus;x hispanica;;360;27;Mature;OUI;48.887747516692855, 2.3435085183680924
102139;Arbre;Jardin;PARIS 19E ARRDT;;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;H06901015;Platane;Platanus;x hispanica;;570;31;Mature;OUI;48.88040420532936, 2.3813826929962505
112503;Arbre;Jardin;PARIS 18E ARRDT;Place Saint-Pierre;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;000105002;Marronnier;Aesculus;hippocastanum;;370;21;Mature;OUI;48.884471602947016, 2.343107759067453
2002357;Arbre;Jardin;BOIS DE VINCENNES;12-30;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;12-30;Platane;Platanus;x hispanica;;530;29;Mature;OUI;48.829253209100635, 2.413182058651702
121945;Arbre;Jardin;PARIS 20E ARRDT;20-05;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;000202004;Platane;Platanus;x hispanica;;520;28;Mature;OUI;48.865621761898815, 2.399941142738716
124358;Arbre;Jardin;PARIS 5E ARRDT;;SQUARE RENE VIVIANI MONTEBELLO / 2 RUE DU FOUARRE;000401001;Robinier;Robinia;pseudoacacia;;365;15;Mature;OUI;48.852191436286596, 2.3472861870229993
114452;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00060082;Micocoulier;Celtis;koraiensis;;177;9;Adulte;OUI;48.84603980850357, 2.2540662827478686
116886;Arbre;Jardin;PARIS 3E ARRDT;03-05;SQUARE DU TEMPLE / 50 RUE DE BRETAGNE;000102007;Noisetier de Byzance;Corylus;colurna;;235;16;Mature;OUI;48.86483749007911, 2.3606255359803257
155948;Arbre;CIMETIERE;PARIS 20E ARRDT;20-11;CIMETIERE DU PERE LACHAISE / DIV 75;D00000075015;Arbre à Gutta-Percha;Eucommia;ulmoides;;133;14;Adulte;OUI;48.85780390876581, 2.3957407845173284
313940;Arbre;Jardin;PARIS 8E ARRDT;08-02;PARC MONCEAU / 1 PLACE DE LA REPUBLIQUE DOMINICAINE;SO0301044;Platane;Platanus;orientalis;;645;31;Mature;OUI;48.87858281562187, 2.307559794170266
134212;Arbre;Jardin;PARIS 17E ARRDT;17-03;SQUARE DES EPINETTES / 1 RUE MARIA DERAISMES;000305005;Tulipier;Liriodendron;tulipifera;;253;18;Adulte;OUI;48.89463831859851, 2.3268512647529587
123805;Arbre;Jardin;PARIS 4E ARRDT;;SQUARE BARYE / 2 BOULEVARD HENRI IV;00000010;Cèdre;Cedrus;atlantica;;35;5;Jeune (arbre);OUI;48.849745937314125, 2.3600393733260545
